ARTIST,MBID,URL,IMAGE_SMALL,IMAGE
Bobby Darin,1f223eed-aa38-49da-9e76-62ab3adc2e04,https://www.last.fm/music/Bobby+Darin,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Womack,48e78462-2f0b-4a1a-9fa4-0585e2991e80,https://www.last.fm/music/Bobby+Womack,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Helms,502b3244-0f7d-470c-99e9-b17fe6bcaabf,https://www.last.fm/music/Bobby+Helms,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Shmurda,4ec3b7d8-efbb-4672-8067-5e72bd8dba3e,https://www.last.fm/music/Bobby+Shmurda,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby McFerrin,a996b5bd-db99-4257-b036-336f63448aa2,https://www.last.fm/music/Bobby+McFerrin,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Caldwell,139a00a8-6b21-47c3-9315-60ac5ab2c715,https://www.last.fm/music/Bobby+Caldwell,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Vinton,f37f26ea-6a9a-49b8-9614-bdad762f1ba6,https://www.last.fm/music/Bobby+Vinton,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby,de69e711-bc6b-49b2-a826-92006936ada4,https://www.last.fm/music/Bobby,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
Bobby Brown,d11f9c07-0eac-4a1f-a443-19cd0f63d5f0,https://www.last.fm/music/Bobby+Brown,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
"Bobby ""Blue"" Bland",66ebc271-6a26-4fe7-848b-f217da119d92,https://www.last.fm/music/Bobby+%22Blue%22+Bland,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png
