ARTIST,MBID,URL,IMAGE_SMALL,IMAGE
Christina Aguilera,b202beb7-99bd-47e7-8b72-195c8d72ebdd,https://www.last.fm/music/Christina+Aguilera,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Brown,c234fa42-e6a6-443e-937e-2f4b073538a3,https://www.last.fm/music/Chris+Brown,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christina Perri,38d363c7-fdcb-4308-9474-a0d14ab8d9b7,https://www.last.fm/music/Christina+Perri,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Cornell,cbf9738d-8f81-4a92-bc64-ede09341652d,https://www.last.fm/music/Chris+Cornell,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Isaak,479497d4-e7c2-4e78-972e-56e78fac3995,https://www.last.fm/music/Chris+Isaak,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christine and the Queens,9c90ffbf-b137-4dee-bfcc-b8010787840d,https://www.last.fm/music/Christine+and+the+Queens,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Rea,c707b37e-cb5c-4694-be4d-46beefcb2475,https://www.last.fm/music/Chris+Rea,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Stapleton,bdf9a24e-2bb5-4218-b4d8-e33769843f24,https://www.last.fm/music/Chris+Stapleton,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Rotting Christ,2d576cfe-7669-4af0-a66a-86c8362f47c5,https://www.last.fm/music/Rotting+Christ,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Travis,,https://www.last.fm/music/Chris+Travis,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christian Leave,,https://www.last.fm/music/Christian+Leave,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christian Death,cf779ca1-1e57-4449-8f8d-7ccdecfe8294,https://www.last.fm/music/Christian+Death,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christophe Beck,0df890e1-f4f2-4b21-a413-cd8af1af32d8,https://www.last.fm/music/Christophe+Beck,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christian Löffler,a0d91c38-f5dc-487b-9b30-b67de1e7489e,https://www.last.fm/music/Christian+L%C3%B6ffler,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Tomlin,b50b36b5-aec1-401f-a722-e5ab673af14d,https://www.last.fm/music/Chris+Tomlin,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris de Burgh,0c2d1de8-fc3a-4ca9-a90b-eea69a5968a5,https://www.last.fm/music/Chris+de+Burgh,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Young,b8b63b14-4ec8-4e8a-96b0-cf1f9809cf20,https://www.last.fm/music/Chris+Young,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christopher Larkin,,https://www.last.fm/music/Christopher+Larkin,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christopher Jackson,1b31b39e-06ac-4978-a444-902328d7d7f8,https://www.last.fm/music/Christopher+Jackson,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christopher Cross,883e4ba4-8ccc-47ed-81df-df51e41792a9,https://www.last.fm/music/Christopher+Cross,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christian French,,https://www.last.fm/music/Christian+French,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Botti,0939452b-0c6f-422a-997f-e7c496ce1113,https://www.last.fm/music/Chris+Botti,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Lake,fca94d64-9ada-4264-9373-4158e2f7c7e7,https://www.last.fm/music/Chris+Lake,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christian Nodal,,https://www.last.fm/music/Christian+Nodal,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christina Milian,78e98e0e-f873-4e5e-b4b7-88b7293fd713,https://www.last.fm/music/Christina+Milian,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Webby,4771b7f6-f4e8-4d5d-81c4-4fd3c6accc7c,https://www.last.fm/music/Chris+Webby,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
MC Chris,43e81abc-bd9c-4056-8c2d-6dfdf3902025,https://www.last.fm/music/MC+Chris,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Christodoulou,bec6b28b-68be-443b-a3c3-b370ea9b5ce5,https://www.last.fm/music/Chris+Christodoulou,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Christian Kuria,,https://www.last.fm/music/Christian+Kuria,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
Chris Garneau,bbc6f655-5d45-45bd-8553-cfd012178590,https://www.last.fm/music/Chris+Garneau,https://lastfm.freetls.fastly.net/i/u/34s/2a96cbd8b46e442fc41c2b86b821562f.png,https://lastfm.freetls.fastly.net/i/u/174s/2a96cbd8b46e442fc41c2b86b821562f.png
